Total_runs	Proportion_of_Starting_failure	Proportion_failure_after_draws
438	0.2465753424657534	0.07990867579908675
439	0.24829157175398633	0.07972665148063782
440	0.24772727272727274	0.07954545454545454
441	0.2471655328798186	0.07936507936507936
442	0.24660633484162897	0.07918552036199095
443	0.24604966139954854	0.07900677200902935
444	0.24549549549549549	0.07882882882882883
445	0.24719101123595505	0.08089887640449438
446	0.24663677130044842	0.08071748878923767
447	0.2483221476510067	0.08053691275167785
448	0.24776785714285715	0.08035714285714286
449	0.24721603563474387	0.0801781737193764
450	0.24666666666666667	0.08
451	0.24611973392461198	0.07982261640798226
452	0.24778761061946902	0.07964601769911504
453	0.24724061810154527	0.07947019867549669
454	0.24669603524229075	0.07929515418502203
455	0.24615384615384617	0.07912087912087912
456	0.24561403508771928	0.07894736842105263
457	0.24507658643326038	0.0787746170678337
458	0.2445414847161572	0.07860262008733625
459	0.2440087145969499	0.0784313725490196
460	0.24347826086956523	0.0782608695652174
461	0.24295010845986983	0.07809110629067245
462	0.24242424242424243	0.07792207792207792
463	0.24406047516198703	0.07991360691144708
464	0.2435344827586207	0.07974137931034483
465	0.24516129032258063	0.07956989247311828
466	0.2446351931330472	0.07939914163090128
467	0.24411134903640258	0.07922912205567452
468	0.24572649572649571	0.07905982905982906
469	0.24520255863539445	0.07889125799573561
470	0.24468085106382978	0.07872340425531915
